OBSNAME	LONG	LATI
WSAN025	-156.19	67.74
WSAN026	-152.22	67.78
WSAN027	-158.4	67.85
WSAN028	-160.4333	67.8667
WSAN029	-164.73	67.9
WSAN030	-164,0000	67.9
WSAN031	-162.6	67.9
WSAN032	-156.82	67.92
WSAN033	-155.05	67.933
WSAN035	-164.02	68,0000
WSAN036	-143.05	68.02
WSAN037	-147.2	68.07
WSAN038	-161.42	68.12
WSAN039	-156.033	68.133
WSAN040	-158.13	68.14
WSAN041	-151.7	68.15
WSAN042	-159.86	68.25
WSAN043	-145.2	68.25
WSAN044	-145.217	68.267
WSAN045	-158.72	68.33
WSAN046	-146.4833	68.3333
WSAN047	-154.64	68.36
WSAN048	-151.71	68.36
WSAN049	-143.92	68.38
WSAN050	-145.8	68.4
WSAN051	-149.92	68.41
WSAN052	-154.06	68.48
WSAN053	-155.86	68.66
WSAN054	-148.52	68.66
WSAN055	-156.42	68.75
WSAN056	-150.79	68.8
WSAN057	-149.06	68.82
WSAN058	-146.42	68.83
WSAN059	-151.32	68.91
WSAN060	-151.32	68.92
WSAN061	-152.27	69.23
WSAN062	-151.15	69.23
WSAN063	-148.95	69.24
WSAN064	-153.45	69.31
WSAN065	-150.23	69.37
WSAN066	-144.05	69.41
WSAN067	-144.03	69.44
WSAN068	-143.74	69.46
WSAN069	-156.05	69.48
WSAN070	-150.88	69.55
WSAN071	-150.33	69.55
WSAN072	-153.26	69.58
WSAN073	-153.25	69.58
WSAN074	-151.16	69.6
WSAN075	-155.05	69.7
WSAN076	-156.11	69.74
WSAW001	-157.78	58.74
WSAW002	-155.95	58.77
WSAW003	-159.15	58.79
WSAW004	-156.73	58.81
WSAW005	-160.08	59.13
WSAW006	-156.03	59.18
WSAW007	-156.89	59.38
WSAW008	-160.58	59.43
WSAW009	-158.27	59.53
WSAW010	-159.37	59.57
WSAW011	-161.78	59.75
WSAW012	-158.52	59.8
WSAW013	-161.9	60.03
WSAW014	-156.28	60.05
WSAW015	-163.08	60.12
WSAW016	-164.07	60.33
WSAW017	-161.77	60.46
WSAW018	-162.63	60.58
WSAW019	-164.33	60.93
WSAW020	-162.93	60.98
WSAW021	-161.68	61.08
WSAW022	-164.2	61.43
WSAW023	-165.1	61.53
WSAW024	-163.62	62.02
WSAW025	-165.53	62.08
WSAW026	-164.63	62.1
WSAW027	-161.67	62.17
WSAW028	-163.6	62.37
WSAW029	-162.17	62.38
WSAW030	-164.5	62.55
WSAW031	-162.2	63.5
WSM001	-132.75	68.1
WSM002	-132.2	68.1333
WSM003	-131.0667	68.25
WSM004	-133.4833	68.2667
WSM005	-138.2833	68.3167
WSM006	-132.5833	68.3167
WSM007	-133.3333	68.3667
WSM008	-138.383	68.383
WSM009	-132.5	68.4
WSM010	-131.2833	68.4667
WSM011	-133.5333	68.5
WSM012	-131,0000	68.5667
WSM013	-131.1833	68.6167
WSM014	-129.0333	68.7833
WSM015	-134.1833	68.8
WSM016	-134.2	68.8833
WSM017	-133.6167	68.9333
WSM018	-133.4833	69.0333
WSM019	-133.45	69.05
WSM020	-133.35	69.05
WSM021	-133.1833	69.1167
WSM022	-133.1833	69.1167
WSM023	-126.5833	69.1167
WSM024	-126.4333	69.1167
WSM025	-125.2167	69.1167
WSM026	-132.167	69.117
WSM027	-134.1833	69.1333
WSM028	-126.7667	69.1333
WSM029	-124.9333	69.15
WSM030	-124.55	69.15
WSM031	-123.7833	69.15
WSM032	-124.4	69.1667
WSM033	-124.2333	69.1833
WSM034	-123.6833	69.1833
WSM035	-123.9333	69.2
WSM036	-123.7	69.2
WSM037	-133.8833	69.2167
WSM038	-125.1	69.2167
WSM039	-126.45	69.2333
WSM040	-126.2833	69.2333
WSM041	-134.6833	69.25
WSM042	-132.8833	69.25
WSM043	-132.1667	69.25
WSM044	-133.583	69.283
WSM045	-133.75	69.2833
WSM046	-132.6167	69.3
WSM047	-133.5	69.3167
WSM048	-134.5	69.3333
WSM049	-133.1667	69.3333
WSM050	-134.1667	69.35
WSM051	-131.7	69.35
WSM052	-132.7833	69.3667
WSM053	-134.3667	69.4167
WSM054	-128.75	69.4167
WSM055	-134.3333	69.45
WSM056	-133.8667	69.45
WSM057	-134.5833	69.4833
WSM058	-134,0000	69.5333
WSM059	-134.3833	69.5667
WSM060	-127.7667	69.5667
WSM061	-129.9667	69.6
WSM062	-129.4167	69.6167
WSM063	-131,0000	69.6333
WSM064	-131.5	69.65
WSM065	-130.4667	69.9667
