stations	Latitude	Longitude
1314	15.62	-94.41
1315	15.11	-94.41
1316	15.11	-94.1
1317	15.33	-94.1
1318	15.41	-94.1
1319	15.2	-93.73
1320	15.01	-93.72
1322	15.12	-93.34
1324	14.76	-93.33
1325	60.17	-79
1326	60.33	-82
1328	60.66	-87.45
1329	60.92	-91.78
1330	65.14	-81.34
1331	62.25	-71.92
1332	64.03	-79.22
1333	62.76	-79
1334	60.18	-79.29
1335	58.42	-78.36
1336	56.39	-76.58
1337	55.4	-77.98
1338	54.72	-80.73
1339	55.44	-80.53
1340	56.72	-80.81
1341	59.05	-87.49
1342	58.73	-91.49
1343	60	-91.97
1344	60.44	-89.36
1345	61.04	-86.22
1347	50.05	-66.38
1348	50.04	-66.38
1349	50.05	-66.38
1350	50.06	-66.37
1351	50.09	-66.33
1352	50.23	-63.95
1353	49.68	-65.17
1354	49.17	-63.83
1355	48.07	-64.3
1356	46.52	-64.23
1357	46.37	-64.41
1358	46.29	-64.37
1359	46.96	-63.72
1360	45.97	-63.3
1361	45.83	-63.2
1362	45.7	-62.53
1363	46.32	-62.2
1364	45.78	-61.58
1365	46.43	-58.56
1366	47.67	-60.01
1367	48.33	-61.5
1368	48.57	-62.84
1369	48.86	-68.53
1370	58.65	-90.28
1371	55.26	-77.89
1372	78.92	6.77
1373	78.94	5.4
1374	78.91	2.42
1375	78.93	1.11
1376	78.9	0.28
1377	78.01	-2.5
1378	77	-3.39
1379	74.63	-11.19
1380	74.89	-10.77
1381	78.88	7.34
1383	73.75	-14.2
1384	73.77	-13.01
1385	73.78	-12.35
1386	69.85	-22.13
1387	77.48	-2.04
1388	77.5	-0.04
1389	78.23	11.01
1390	72.001	22.002
1391	72.021	20.919
1392	72.022	19.85
1393	72.017	18.767
1394	72.022	17.692
1395	72.02	16.612
1396	72.005	14.725
1397	72.005	14.617
1398	73.167	12.938
1399	73.167	14.083
1400	73.167	15.233
1401	73.167	16.383
1402	73.167	17.537
1403	73.167	18.817
1404	73.167	19.848
1405	73.167	20.95
1406	73.167	21.998
1407	74.812	18.017
1408	74.812	17
1409	74.812	16.033
1410	74.812	14.78
1411	75.637	12.92
1412	75.743	13.83
1413	75.833	14.767
1414	75.945	15.712
1415	76.042	16.667
1416	76.147	17.617
1417	76.22	18.583
1418	76.303	19.568
1419	76.383	20.575
1420	76.462	21.595
1421	71.75	22
1422	71.612	21.063
1423	71.593	20.857
1424	71.595	21.19
1425	71.48	20.81
1426	71.33	20.18
1427	71.183	19.557
1428	71.027	18.943
1429	70.868	18.337
1430	70.712	17.745
1431	70.543	17.128
1432	70.438	16.742
1433	23.109	-106.476
1434	22.96	-106.336
1435	22.806	-106.463
1436	22.72	-106.479
1437	22.4	-106.117
1438	22.34	-106.186
1439	21.996	-105.789
1440	21.5	-105.582
1441	21.217	-105.898
1442	20.803	-105.898
1443	20.747	-105.611
1444	20.524	-105.664
1445	20.55	-105.49
1446	20.641	-105.258
1447	20.234	-105.606
1448	20.153	-105.692
1449	19.674	-105.67
1450	19.743	-105.541
1451	19.801	-105.425
1452	19.386	-105.125
1453	19.148	-104.643
1454	19.103	-104.676
1455	19.064	-104.694
1456	18.964	-104.751
1457	18.827	-103.986
1458	18.805	-104.009
1459	18.573	-103.737
1460	18.539	-103.786
1461	18.135	-102.975
1462	18.089	-103.027
1463	17.737	-102.481
1464	17.789	-102.469
1465	17.915	-102.419
1466	17.896	-102.096
1467	17.575	-101.541
1468	17.521	-101.586
1469	17.488	-101.606
1470	17.409	-101.681
1471	17.118	-100.785
1472	17.138	-100.766
1473	16.921	-100.1
1474	16.814	-99.924
1475	16.759	-99.966
